,price,width,height,ram_capacity,non_volatile_memory_capacity,display_diagonal,display_area_utilization,pixel_density,number_of_effective_pixels,depth,number_of_display_scales,zoom,nominal_battery_capacity,secondary_camera_number_of_pixels,mass,cpu_clock,horizontal_full_bezel_width,video_recording_x_res,video_recording_y_res,aux_camera_number_of_pixels,max_charging_power,sec_video_recording_x_res,sec_video_recording_y_res
0,199.0,76.4,165.1,3.0,32.0,167.2,82.8,401,49.9,8.8,16.8,1.0,5000.0,8.0,195.0,2000.0,7.98,1920.0,1080.0,5.0,15.0,1920.0,1080.0
1,199.0,76.4,165.1,3.0,32.0,167.2,82.8,401,49.9,8.8,16.8,1.0,5000.0,8.0,195.0,2000.0,7.98,1920.0,1080.0,5.0,15.0,1920.0,1080.0
2,199.0,76.4,165.1,3.0,32.0,167.2,82.8,401,49.9,8.8,16.8,1.0,5000.0,8.0,195.0,2000.0,7.98,1920.0,1080.0,5.0,15.0,1920.0,1080.0
3,2699.0,71.7,158.75,12.0,512.0,166.4,91.0,402,50.1,7.56,16.8,1.0,4500.0,32.0,173.5,3100.0,3.42,3840.0,2160.0,8.0,67.0,3840.0,2160.0
4,2999.0,71.7,158.75,16.0,512.0,166.4,91.0,402,50.1,7.56,16.8,1.0,4500.0,32.0,173.5,3100.0,3.42,3840.0,2160.0,8.0,67.0,3840.0,2160.0
5,2499.0,71.7,158.75,12.0,256.0,166.4,91.0,402,50.1,7.56,16.8,1.0,4500.0,32.0,173.5,3100.0,3.42,3840.0,2160.0,8.0,67.0,3840.0,2160.0
6,10888.0,72.6,160.3,16.0,512.0,163.83,82.6,431,53.9,12.9,1073.7,3.0,5000.0,15.9,267.0,2995.0,8.92,3840.0,2160.0,50.1,66.0,2520.0,1080.0
7,1599.0,72.6,160.3,12.0,512.0,163.83,82.6,431,53.9,12.9,1073.7,3.0,5000.0,15.9,267.0,2995.0,8.92,3840.0,2160.0,50.1,66.0,2520.0,1080.0
8,7499.0,72.6,160.3,8.0,256.0,163.83,82.6,431,53.9,12.9,1073.7,3.0,5000.0,15.9,267.0,2995.0,8.92,3840.0,2160.0,50.1,66.0,2520.0,1080.0
9,7999.0,72.6,160.3,12.0,256.0,163.83,82.6,431,53.9,12.9,1073.7,3.0,5000.0,15.9,267.0,2995.0,8.92,3840.0,2160.0,50.1,66.0,2520.0,1080.0
